mes_ano,ABRANGENCI,notificacoes
202306,SAO FRANCISCO,71
202306,SOLO SAGRADO,57
202306,TALHADO,16
202306,VETORAZZO,54
202306,VILA ELVIRA,22
202306,VILA MAYOR,25
202306,VILA TONINHO,53
202307,ANCHIETA,23
202307,CAIC,18
202307,CENTRAL,26
202307,CIDADE JARDIM,16
202307,ELDORADO,15
202307,ENGENHEIRO SCHMITT,9
202307,ESTORIL,36
202307,FRATERNIDADE,4
202307,GABRIELA,8
202307,GONZAGA DE CAMPOS,11
202307,JAGUARE,36
202307,JARDIM AMERICANO,15
202307,LEALDADE E AMIZADE,8
202307,LUZ DA ESPERANCA,13
202307,MARIA LUCIA,35
202307,NOVA ESPERANCA,3
202307,PARQUE DA CIDADANIA,11
202307,PARQUE INDUSTRIAL,32
202307,RENASCER,12
202307,RIO PRETO I,9
202307,SANTO ANTONIO,37
202307,SAO DEOCLECIANO,36
202307,SAO FRANCISCO,48
202307,SOLO SAGRADO,23
202307,TALHADO,8
202307,VETORAZZO,24
202307,VILA ELVIRA,15
202307,VILA MAYOR,18
202307,VILA TONINHO,25
202308,ANCHIETA,23
202308,CAIC,15
202308,CENTRAL,38
202308,CIDADE JARDIM,25
202308,ELDORADO,17
202308,ENGENHEIRO SCHMITT,13
202308,ESTORIL,48
202308,FRATERNIDADE,6
202308,GABRIELA,15
202308,GONZAGA DE CAMPOS,9
202308,JAGUARE,32
202308,JARDIM AMERICANO,17
202308,LEALDADE E AMIZADE,11
202308,LUZ DA ESPERANCA,22
202308,MARIA LUCIA,37
202308,NOVA ESPERANCA,7
202308,PARQUE DA CIDADANIA,8
202308,PARQUE INDUSTRIAL,27
202308,RENASCER,14
202308,RIO PRETO I,18
202308,SANTO ANTONIO,42
202308,SAO DEOCLECIANO,44
202308,SAO FRANCISCO,44
202308,SOLO SAGRADO,39
202308,TALHADO,10
202308,VETORAZZO,37
202308,VILA ELVIRA,18
202308,VILA MAYOR,17
202308,VILA TONINHO,25
202309,ANCHIETA,26
202309,CAIC,19
202309,CENTRAL,36
202309,CIDADE JARDIM,31
202309,ELDORADO,18
202309,ENGENHEIRO SCHMITT,16
202309,ESTORIL,50
202309,FRATERNIDADE,7
202309,GABRIELA,19
202309,GONZAGA DE CAMPOS,17
202309,JAGUARE,25
202309,JARDIM AMERICANO,19
202309,LEALDADE E AMIZADE,10
202309,LUZ DA ESPERANCA,10
202309,MARIA LUCIA,34
202309,NOVA ESPERANCA,8
202309,PARQUE DA CIDADANIA,6
202309,PARQUE INDUSTRIAL,44
202309,RENASCER,8
202309,RIO PRETO I,17
202309,SANTO ANTONIO,18
202309,SAO DEOCLECIANO,31
202309,SAO FRANCISCO,51
202309,SOLO SAGRADO,34
202309,TALHADO,6
202309,VETORAZZO,41
202309,VILA ELVIRA,15
202309,VILA MAYOR,13
202309,VILA TONINHO,28
202310,ANCHIETA,23
202310,CAIC,15
202310,CENTRAL,43
202310,CIDADE JARDIM,24
202310,ELDORADO,27
202310,ENGENHEIRO SCHMITT,25
202310,ESTORIL,55
202310,FRATERNIDADE,7
202310,GABRIELA,18
202310,GONZAGA DE CAMPOS,15
202310,JAGUARE,34
202310,JARDIM AMERICANO,20
202310,LEALDADE E AMIZADE,20
202310,LUZ DA ESPERANCA,28
202310,MARIA LUCIA,37
202310,NOVA ESPERANCA,5
202310,PARQUE DA CIDADANIA,6
202310,PARQUE INDUSTRIAL,33
202310,RENASCER,13
202310,RIO PRETO I,18
202310,SANTO ANTONIO,31
202310,SAO DEOCLECIANO,42
202310,SAO FRANCISCO,51
202310,SOLO SAGRADO,31
202310,TALHADO,8
202310,VETORAZZO,45
202310,VILA ELVIRA,24
202310,VILA MAYOR,17
202310,VILA TONINHO,33
202311,ANCHIETA,20
202311,CAIC,22
202311,CENTRAL,41
202311,CIDADE JARDIM,28
202311,ELDORADO,21
202311,ENGENHEIRO SCHMITT,28
202311,ESTORIL,59
202311,FRATERNIDADE,12
202311,GABRIELA,15
202311,GONZAGA DE CAMPOS,12
202311,JAGUARE,34
202311,JARDIM AMERICANO,25
202311,LEALDADE E AMIZADE,15
202311,LUZ DA ESPERANCA,28
202311,MARIA LUCIA,37
202311,NOVA ESPERANCA,8
202311,PARQUE DA CIDADANIA,12
202311,PARQUE INDUSTRIAL,35
202311,RENASCER,12
202311,RIO PRETO I,18
202311,SANTO ANTONIO,25
202311,SAO DEOCLECIANO,43
202311,SAO FRANCISCO,63
202311,SOLO SAGRADO,43
202311,TALHADO,12
202311,VETORAZZO,36
202311,VILA ELVIRA,22
202311,VILA MAYOR,14
202311,VILA TONINHO,42
202312,ANCHIETA,24
202312,CAIC,26
202312,CENTRAL,40
202312,CIDADE JARDIM,22
202312,ELDORADO,19
202312,ENGENHEIRO SCHMITT,18
202312,ESTORIL,43
202312,FRATERNIDADE,7
202312,GABRIELA,14
202312,GONZAGA DE CAMPOS,8
202312,JAGUARE,28
202312,JARDIM AMERICANO,19
202312,LEALDADE E AMIZADE,12
202312,LUZ DA ESPERANCA,22
202312,MARIA LUCIA,39
202312,NOVA ESPERANCA,14
202312,PARQUE DA CIDADANIA,13
202312,PARQUE INDUSTRIAL,46
202312,RENASCER,20
202312,RIO PRETO I,23
202312,SANTO ANTONIO,35
202312,SAO DEOCLECIANO,40
202312,SAO FRANCISCO,36
202312,SOLO SAGRADO,34
202312,TALHADO,18
202312,VETORAZZO,34
202312,VILA ELVIRA,31
202312,VILA MAYOR,16
202312,VILA TONINHO,30
